Num of Writers, Average, Max, Min
0, 8.940000, 10, 5
1, 12.080000, 13, 11
2, 18.430000, 28, 14
3, 22.660000, 42, 18
4, 24.400000, 32, 21
5, 29.620000, 73, 26
6, 33.800000, 49, 30
7, 37.480000, 62, 33
8, 39.600000, 43, 37
9, 43.230000, 62, 40
10, 48.600000, 94, 44
11, 48.990000, 83, 47
12, 52.600000, 80, 51
13, 58.130000, 93, 54
14, 59.870000, 76, 58
15, 65.770000, 83, 63
16, 67.440000, 83, 65
17, 69.270000, 73, 69
18, 74.060000, 97, 72
19, 78.080000, 111, 75
20, 81.940000, 106, 81
21, 85.160000, 143, 83
22, 87.460000, 108, 86
23, 92.300000, 150, 90
24, 95.960000, 128, 85
25, 97.550000, 123, 88
26, 105.580000, 140, 93
27, 103.610000, 142, 94
28, 116.510000, 175, 98
29, 109.880000, 118, 101
30, 114.040000, 147, 104
31, 116.570000, 151, 107
32, 124.300000, 170, 112
33, 125.420000, 215, 114
34, 127.240000, 168, 118
35, 127.070000, 179, 121
36, 136.420000, 211, 124
37, 137.510000, 177, 129
38, 139.640000, 180, 131
39, 133.860000, 199, 113
40, 135.300000, 195, 116
41, 146.700000, 174, 119
42, 153.200000, 218, 145
43, 156.810000, 198, 149
44, 158.230000, 197, 151
45, 155.590000, 191, 141
46, 164.360000, 211, 145
47, 152.470000, 180, 147
48, 155.060000, 290, 151
49, 180.450000, 303, 170
50, 178.210000, 227, 172
51, 176.670000, 195, 175
52, 178.600000, 180, 164
53, 184.690000, 251, 142
54, 181.990000, 258, 158
55, 189.240000, 305, 173
56, 197.660000, 339, 176
57, 193.590000, 243, 179
58, 194.260000, 421, 183
59, 197.330000, 384, 112
60, 165.990000, 232, 115
61, 205.600000, 240, 192
62, 204.050000, 246, 195
63, 203.980000, 247, 198
64, 213.430000, 251, 202
65, 216.990000, 253, 205
66, 219.230000, 258, 209
67, 223.090000, 313, 211
68, 222.680000, 266, 215
69, 225.650000, 258, 218
70, 227.760000, 262, 221
71, 233.340000, 267, 224
72, 236.180000, 268, 228
73, 239.970000, 284, 231
74, 244.420000, 318, 234
75, 250.790000, 687, 237
76, 255.130000, 398, 206
77, 262.640000, 405, 210
78, 254.450000, 301, 228
79, 252.660000, 270, 251
80, 268.480000, 452, 217
81, 257.810000, 286, 237
82, 262.650000, 279, 261
83, 267.470000, 294, 245
84, 269.370000, 325, 228
85, 274.600000, 329, 249
86, 284.240000, 453, 252
87, 283.760000, 340, 256
88, 288.820000, 725, 259
89, 283.830000, 345, 242
90, 295.390000, 474, 245
91, 291.570000, 320, 248
92, 291.330000, 325, 251
93, 298.710000, 370, 254
94, 308.210000, 412, 303
95, 296.720000, 371, 260
96, 305.940000, 426, 263
97, 301.850000, 426, 266
98, 310.280000, 429, 269
99, 310.830000, 388, 271
100, 314.940000, 394, 276
